>Vs155[Macaca_mulatta_MMUL01] 1|1482|1 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs157[Macaca_mulatta_MMUL01] 1|38589|3 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs158[Macaca_mulatta_MMUL01] 1|48226|4 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs159[Macaca_mulatta_MMUL01] 1|55680|5 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs160[Macaca_mulatta_MMUL01] 1|64967|6 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs161[Macaca_mulatta_MMUL01] 1|97734|7 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs162[Macaca_mulatta_MMUL01] 1|146617|8 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs163[Macaca_mulatta_MMUL01] 1|175855|9 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs164[Macaca_mulatta_MMUL01] 1|187206|10 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs165[Macaca_mulatta_MMUL01] 1|203923|11 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs166[Macaca_mulatta_MMUL01] 1|290356|12 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs167[Macaca_mulatta_MMUL01] 1|294318|13 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs168[Macaca_mulatta_MMUL01] 1|331177|14 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs169[Macaca_mulatta_MMUL01] 1|439323|15 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs170[Macaca_mulatta_MMUL01] 1|477121|16 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs171[Macaca_mulatta_MMUL01] 1|491717|17 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs172[Macaca_mulatta_MMUL01] 1|520616|18 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs173[Macaca_mulatta_MMUL01] 1|565606|19 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs174[Macaca_mulatta_MMUL01] 1|593374|20 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs175[Macaca_mulatta_MMUL01] 1|601142|21 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs176[Macaca_mulatta_MMUL01] 1|604651|22 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs177[Macaca_mulatta_MMUL01] 1|613004|23 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs178[Macaca_mulatta_MMUL01] 1|654687|24 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs179[Macaca_mulatta_MMUL01] 1|661967|25 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs180[Macaca_mulatta_MMUL01] 1|700541|26 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs181[Macaca_mulatta_MMUL01] 1|716255|27 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs182[Macaca_mulatta_MMUL01] 1|725596|28 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs183[Macaca_mulatta_MMUL01] 1|759510|29 V region :: 1099548049584_0 1099548049584 dna:scaffold scaffold:MMUL_1:1099548049584:1:769442:1 REF
>Vs185[Macaca_mulatta_MMUL01] 1|227|1 V region :: 1099214757507_0 1099214757507 dna:scaffold scaffold:MMUL_1:1099214757507:1:1649:1 REF
>Vs191[Macaca_mulatta_MMUL01] -1|1856|1 VR region :: 1099214148171_0 1099214148171 dna:scaffold scaffold:MMUL_1:1099214148171:1:1950:1 REF
