>Vs37[Macaca_mulatta_MMUL01] 1|377093|1 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs38[Macaca_mulatta_MMUL01] 1|429921|2 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs39[Macaca_mulatta_MMUL01] 1|466829|3 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs40[Macaca_mulatta_MMUL01] 1|497324|4 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs41[Macaca_mulatta_MMUL01] 1|520019|5 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs42[Macaca_mulatta_MMUL01] 1|528120|6 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs43[Macaca_mulatta_MMUL01] 1|536211|7 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs44[Macaca_mulatta_MMUL01] 1|561293|8 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs45[Macaca_mulatta_MMUL01] 1|569515|9 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs46[Macaca_mulatta_MMUL01] 1|589685|10 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs47[Macaca_mulatta_MMUL01] 1|629218|11 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs48[Macaca_mulatta_MMUL01] 1|663090|12 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs49[Macaca_mulatta_MMUL01] 1|699982|13 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs50[Macaca_mulatta_MMUL01] 1|713632|14 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs51[Macaca_mulatta_MMUL01] 1|729148|15 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs52[Macaca_mulatta_MMUL01] 1|734143|16 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs53[Macaca_mulatta_MMUL01] 1|753062|17 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs54[Macaca_mulatta_MMUL01] 1|774940|18 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs55[Macaca_mulatta_MMUL01] 1|782905|19 V region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs186[Macaca_mulatta_MMUL01] -1|327035|1 VR region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs187[Macaca_mulatta_MMUL01] -1|267149|2 VR region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
>Vs188[Macaca_mulatta_MMUL01] -1|262262|3 VR region :: 13_0 13 dna:chromosome chromosome:MMUL_1:13:1:138028943:1 REF
